feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
199.4,254.7,248.8,279.8,279.7,302.6,962.983871,964.385556,965.255914,965.812222,967.562366,967.258065,24.692258,25172.0,24.539355,24.376667,24.592903,25.554839,80.193548,73.5,74.580645,60925.0,52.830645,46.435484,26.45,24.64,23.73,22.36,21.73,20.89,26.33,26.7,26.79,26.53,26.13,25.63,26.68,26.71,26.45,25.72,25.05,24.28,26.98,27.41,27.89,27.96,27.75,27.69,-0.38,-0.31,-0.21,-0.15,-0.09,-0.02,-0.23,-0.13,0.11,0.15,0.17,0.34,0.33,0.45,0.53,0.49,0.64,0.55,78.6
254.7,248.8,279.8,279.7,302.6,289.7,964.385556,965.255914,965.812222,967.562366,967.258065,964.834444,25172.0,24.539355,24.376667,24.592903,25.554839,27.192667,73.5,74.580645,60925.0,52.830645,46.435484,42.808333,24.64,23.73,22.36,21.73,20.89,19.67,26.7,26.79,26.53,26.13,25.63,25.63,26.71,26.45,25.72,25.05,24.28,23.79,27.41,27.89,27.96,27.75,27.69,27.79,-0.31,-0.21,-0.15,-0.09,-0.02,0.04,-0.13,0.11,0.15,0.17,0.34,0.38,0.45,0.53,0.49,0.64,0.55,0.24,158.7
248.8,279.8,279.7,302.6,289.7,276.7,965.255914,965.812222,967.562366,967.258065,964.834444,964.565591,24.539355,24.376667,24.592903,25.554839,27.192667,27.354839,74.580645,60925.0,52.830645,46.435484,42.808333,46.596774,23.73,22.36,21.73,20.89,19.67,20.15,26.79,26.53,26.13,25.63,25.63,25.48,26.45,25.72,25.05,24.28,23.79,23.6,27.89,27.96,27.75,27.69,27.79,27.79,-0.21,-0.15,-0.09,-0.02,0.04,0.05,0.11,0.15,0.17,0.34,0.38,0.25,0.53,0.49,0.64,0.55,0.24,0.28,236.4
279.8,279.7,302.6,289.7,276.7,211.4,965.812222,967.562366,967.258065,964.834444,964.565591,963.278889,24.376667,24.592903,25.554839,27.192667,27.354839,26.811333,60925.0,52.830645,46.435484,42.808333,46.596774,55.45,22.36,21.73,20.89,19.67,20.15,20.43,26.53,26.13,25.63,25.63,25.48,25.12,25.72,25.05,24.28,23.79,23.6,23.6,27.96,27.75,27.69,27.79,27.79,27.42,-0.15,-0.09,-0.02,0.04,0.05,0.01,0.15,0.17,0.34,0.38,0.25,0.13,0.49,0.64,0.55,0.24,0.28,0.33,85.3
279.7,302.6,289.7,276.7,211.4,206.6,967.562366,967.258065,964.834444,964.565591,963.278889,963.475269,24.592903,25.554839,27.192667,27.354839,26.811333,27.081935,52.830645,46.435484,42.808333,46.596774,55.45,56.451613,21.73,20.89,19.67,20.15,20.43,22.17,26.13,25.63,25.63,25.48,25.12,24.86,25.05,24.28,23.79,23.6,23.6,23.68,27.75,27.69,27.79,27.79,27.42,27.18,-0.09,-0.02,0.04,0.05,0.01,-0.06,0.17,0.34,0.38,0.25,0.13,0.27,0.64,0.55,0.24,0.28,0.33,0.36,265.9
302.6,289.7,276.7,211.4,206.6,197.0,967.258065,964.834444,964.565591,963.278889,963.475269,963.984946,25.554839,27.192667,27.354839,26.811333,27.081935,25.402581,46.435484,42.808333,46.596774,55.45,56.451613,76.08871,20.89,19.67,20.15,20.43,22.17,23.81,25.63,25.63,25.48,25.12,24.86,24.78,24.28,23.79,23.6,23.6,23.68,24.0,27.69,27.79,27.79,27.42,27.18,26.99,-0.02,0.04,0.05,0.01,-0.06,-0.13,0.34,0.38,0.25,0.13,0.27,-0.18,0.55,0.24,0.28,0.33,0.36,0.21,37.9
289.7,276.7,211.4,206.6,197.0,202.3,964.834444,964.565591,963.278889,963.475269,963.984946,965.352874,27.192667,27.354839,26.811333,27.081935,25.402581,25.216552,42.808333,46.596774,55.45,56.451613,76.08871,75.913793,19.67,20.15,20.43,22.17,23.81,25.48,25.63,25.48,25.12,24.86,24.78,25.21,23.79,23.6,23.6,23.68,24.0,25.27,27.79,27.79,27.42,27.18,26.99,26.73,0.04,0.05,0.01,-0.06,-0.13,-0.16,0.38,0.25,0.13,0.27,-0.18,-0.1,0.24,0.28,0.33,0.36,0.21,0.39,10.8
276.7,211.4,206.6,197.0,202.3,201.1,964.565591,963.278889,963.475269,963.984946,965.352874,964.265217,27.354839,26.811333,27.081935,25.402581,25.216552,24.93,46.596774,55.45,56.451613,76.08871,75.913793,77.416667,20.15,20.43,22.17,23.81,25.48,26.02,25.48,25.12,24.86,24.78,25.21,26.3,23.6,23.6,23.68,24.0,25.27,26.7,27.79,27.42,27.18,26.99,26.73,26.89,0.05,0.01,-0.06,-0.13,-0.16,-0.14,0.25,0.13,0.27,-0.18,-0.1,0.06,0.28,0.33,0.36,0.21,0.39,0.4,3.6
211.4,206.6,197.0,202.3,201.1,231.4,963.278889,963.475269,963.984946,965.352874,964.265217,965.247778,26.811333,27.081935,25.402581,25.216552,24.93,24.935333,55.45,56.451613,76.08871,75.913793,77.416667,77.483333,20.43,22.17,23.81,25.48,26.02,25.5,25.12,24.86,24.78,25.21,26.3,26.95,23.6,23.68,24.0,25.27,26.7,27.41,27.42,27.18,26.99,26.73,26.89,27.2,0.01,-0.06,-0.13,-0.16,-0.14,-0.15,0.13,0.27,-0.18,-0.1,0.06,-0.01,0.33,0.36,0.21,0.39,0.4,0.37,14.9
206.6,197.0,202.3,201.1,231.4,259.7,963.475269,963.984946,965.352874,964.265217,965.247778,966.256989,27.081935,25.402581,25.216552,24.93,24.935333,24.679355,56.451613,76.08871,75.913793,77.416667,77.483333,70.516129,22.17,23.81,25.48,26.02,25.5,24.02,24.86,24.78,25.21,26.3,26.95,27.07,23.68,24.0,25.27,26.7,27.41,26.88,27.18,26.99,26.73,26.89,27.2,27.63,-0.06,-0.13,-0.16,-0.14,-0.15,-0.23,0.27,-0.18,-0.1,0.06,-0.01,-0.06,0.36,0.21,0.39,0.4,0.37,0.29,19.8
287.7,262.5,270.6,253.9,165.7,233.7,966.887879,965.957609,964.637931,964.359524,966.18125,966.267949,27.776667,27.799355,28.568667,27.276129,24.81871,25.340714,43.991667,52.370968,49925.0,61.927419,80.209677,75.053571,19.6,19.88,20.77,21.79,23.79,26.03,26.52,26.57,26.33,26.19,26.39,26.71,24.31,24.55,24.42,24.61,25.17,26.16,28.97,28.95,28.78,28.66,28.72,28.66,0.13,0.24,0.37,0.57,0.61,0.51,0.51,0.48,0.62,0.66,0.78,0.53,0.11,0.2,0.16,0.01,0.14,-0.06,1.0
