feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
181.7,157.3,172.9,186.0,275.4,286.0,964.216667,964.021505,965.344444,966.305376,966.551111,967.898925,27.475714,26.077419,25.685333,24.959355,25.793333,26.254839,59.285714,72.774194,72.791667,74.08871,54.291667,43.604839,25.56,26.45,24.64,23.73,22.36,21.73,25.43,26.33,26.7,26.79,26.53,26.13,25.52,26.68,26.71,26.45,25.72,25.05,26.56,26.98,27.41,27.89,27.96,27.75,-0.32,-0.38,-0.31,-0.21,-0.15,-0.09,-0.2,-0.23,-0.13,0.11,0.15,0.17,0.05,0.33,0.45,0.53,0.49,0.64,3.0
157.3,172.9,186.0,275.4,286.0,306.3,964.021505,965.344444,966.305376,966.551111,967.898925,967.452688,26.077419,25.685333,24.959355,25.793333,26.254839,27.048387,72.774194,72.791667,74.08871,54.291667,43.604839,40.879032,26.45,24.64,23.73,22.36,21.73,20.89,26.33,26.7,26.79,26.53,26.13,25.63,26.68,26.71,26.45,25.72,25.05,24.28,26.98,27.41,27.89,27.96,27.75,27.69,-0.38,-0.31,-0.21,-0.15,-0.09,-0.02,-0.23,-0.13,0.11,0.15,0.17,0.34,0.33,0.45,0.53,0.49,0.64,0.55,52.2
172.9,186.0,275.4,286.0,306.3,279.5,965.344444,966.305376,966.551111,967.898925,967.452688,965.331111,25.685333,24.959355,25.793333,26.254839,27.048387,28.251333,72.791667,74.08871,54.291667,43.604839,40.879032,44375.0,24.64,23.73,22.36,21.73,20.89,19.67,26.7,26.79,26.53,26.13,25.63,25.63,26.71,26.45,25.72,25.05,24.28,23.79,27.41,27.89,27.96,27.75,27.69,27.79,-0.31,-0.21,-0.15,-0.09,-0.02,0.04,-0.13,0.11,0.15,0.17,0.34,0.38,0.45,0.53,0.49,0.64,0.55,0.24,179.6
186.0,275.4,286.0,306.3,279.5,262.5,966.305376,966.551111,967.898925,967.452688,965.331111,965.084946,24.959355,25.793333,26.254839,27.048387,28.251333,28.649677,74.08871,54.291667,43.604839,40.879032,44375.0,44.145161,23.73,22.36,21.73,20.89,19.67,20.15,26.79,26.53,26.13,25.63,25.63,25.48,26.45,25.72,25.05,24.28,23.79,23.6,27.89,27.96,27.75,27.69,27.79,27.79,-0.21,-0.15,-0.09,-0.02,0.04,0.05,0.11,0.15,0.17,0.34,0.38,0.25,0.53,0.49,0.64,0.55,0.24,0.28,78.2
275.4,286.0,306.3,279.5,262.5,204.8,966.551111,967.898925,967.452688,965.331111,965.084946,964.088889,25.793333,26.254839,27.048387,28.251333,28.649677,28.474667,54.291667,43.604839,40.879032,44375.0,44.145161,49.8,22.36,21.73,20.89,19.67,20.15,20.43,26.53,26.13,25.63,25.63,25.48,25.12,25.72,25.05,24.28,23.79,23.6,23.6,27.96,27.75,27.69,27.79,27.79,27.42,-0.15,-0.09,-0.02,0.04,0.05,0.01,0.15,0.17,0.34,0.38,0.25,0.13,0.49,0.64,0.55,0.24,0.28,0.33,199.9
286.0,306.3,279.5,262.5,204.8,191.1,967.898925,967.452688,965.331111,965.084946,964.088889,964.81828,26.254839,27.048387,28.251333,28.649677,28.474667,27.66,43.604839,40.879032,44375.0,44.145161,49.8,52.282258,21.73,20.89,19.67,20.15,20.43,22.17,26.13,25.63,25.63,25.48,25.12,24.86,25.05,24.28,23.79,23.6,23.6,23.68,27.75,27.69,27.79,27.79,27.42,27.18,-0.09,-0.02,0.04,0.05,0.01,-0.06,0.17,0.34,0.38,0.25,0.13,0.27,0.64,0.55,0.24,0.28,0.33,0.36,92.8
306.3,279.5,262.5,204.8,191.1,182.1,967.452688,965.331111,965.084946,964.088889,964.81828,964.9,27.048387,28.251333,28.649677,28.474667,27.66,25.690323,40.879032,44375.0,44.145161,49.8,52.282258,69.346774,20.89,19.67,20.15,20.43,22.17,23.81,25.63,25.63,25.48,25.12,24.86,24.78,24.28,23.79,23.6,23.6,23.68,24.0,27.69,27.79,27.79,27.42,27.18,26.99,-0.02,0.04,0.05,0.01,-0.06,-0.13,0.34,0.38,0.25,0.13,0.27,-0.18,0.55,0.24,0.28,0.33,0.36,0.21,51.1
279.5,262.5,204.8,191.1,182.1,179.1,965.331111,965.084946,964.088889,964.81828,964.9,966.203448,28.251333,28.649677,28.474667,27.66,25.690323,25.747586,44375.0,44.145161,49.8,52.282258,69.346774,69.060345,19.67,20.15,20.43,22.17,23.81,25.48,25.63,25.48,25.12,24.86,24.78,25.21,23.79,23.6,23.6,23.68,24.0,25.27,27.79,27.79,27.42,27.18,26.99,26.73,0.04,0.05,0.01,-0.06,-0.13,-0.16,0.38,0.25,0.13,0.27,-0.18,-0.1,0.24,0.28,0.33,0.36,0.21,0.39,9.2
262.5,204.8,191.1,182.1,179.1,161.5,965.084946,964.088889,964.81828,964.9,966.203448,965.075269,28.649677,28.474667,27.66,25.690323,25.747586,25.243871,44.145161,49.8,52.282258,69.346774,69.060345,73.879032,20.15,20.43,22.17,23.81,25.48,26.02,25.48,25.12,24.86,24.78,25.21,26.3,23.6,23.6,23.68,24.0,25.27,26.7,27.79,27.42,27.18,26.99,26.73,26.89,0.05,0.01,-0.06,-0.13,-0.16,-0.14,0.25,0.13,0.27,-0.18,-0.1,0.06,0.28,0.33,0.36,0.21,0.39,0.4,30.1
204.8,191.1,182.1,179.1,161.5,199.7,964.088889,964.81828,964.9,966.203448,965.075269,966.116667,28.474667,27.66,25.690323,25.747586,25.243871,25.18,49.8,52.282258,69.346774,69.060345,73.879032,74.65,20.43,22.17,23.81,25.48,26.02,25.5,25.12,24.86,24.78,25.21,26.3,26.95,23.6,23.68,24.0,25.27,26.7,27.41,27.42,27.18,26.99,26.73,26.89,27.2,0.01,-0.06,-0.13,-0.16,-0.14,-0.15,0.13,0.27,-0.18,-0.1,0.06,-0.01,0.33,0.36,0.21,0.39,0.4,0.37,11.7
