Year-month, Temperature
2010.91666666667,21.91
2011,24.08
2011.08333333333,25.94
2011.16666666667,25.61
2011.25,25.34
2011.33333333333,24.53
2011.41666666667,23.42
2011.5,22.06
2011.58333333333,20.79
2011.66666666667,19.99
2011.75,20.24
2011.83333333333,21.09
2011.91666666667,22.13
2012,24.38
2012.08333333333,26.46
2012.16666666667,26.65
2012.25,26.44
2012.33333333333,25.29
2012.41666666667,24.14
2012.5,22.36
2012.58333333333,21.07
2012.66666666667,20.79
2012.75,20.65
2012.83333333333,21.24
2012.91666666667,21.96
2013,23.89
2013.08333333333,25.37
2013.16666666667,25.81
2013.25,24.31
2013.33333333333,22.83
2013.41666666667,21.22
2013.5,20.36
2013.58333333333,19.85
2013.66666666667,19.95
2013.75,20.27
2013.83333333333,21.09
2013.91666666667,22.37
2014,24.56
2014.08333333333,25.49
2014.16666666667,26.17
2014.25,25.51
2014.33333333333,25.48
2014.41666666667,24.67
2014.5,22.94
2014.58333333333,21.90
2014.66666666667,21.52
2014.75,21.71
2014.83333333333,22.45
2014.91666666667,23.22
2015,24.41
2015.08333333333,25.57
2015.16666666667,26.57
2015.25,26.54
2015.33333333333,25.96
2015.41666666667,25.32
2015.5,24.50
2015.58333333333,22.66
2015.66666666667,23.01
2015.75,23.14
2015.83333333333,23.93
2015.91666666667,25.02
2016,26.36
2016.08333333333,27.40
2016.16666666667,27.83
2016.25,25.98
2016.33333333333,24.90
2016.41666666667,23.77
2016.5,22.21
2016.58333333333,21.25
2016.66666666667,21.29
2016.75,21.36
2016.83333333333,21.78
2016.91666666667,23.24
2017,25.50
2017.08333333333,27.46
2017.16666666667,28.10
2017.25,26.59
2017.33333333333,24.63
2017.41666666667,22.89
2017.5,21.64
2017.58333333333,20.67
2017.66666666667,19.92
2017.75,20.21
2017.83333333333,20.46
2017.91666666667,21.39
2018,23.44
2018.08333333333,25.13
2018.16666666667,25.13
2018.25,24.51
2018.33333333333,23.67
2018.41666666667,22.40
2018.5,21.56
2018.58333333333,20.74
2018.66666666667,20.65
2018.75,21.18
2018.83333333333,22.46
2018.91666666667,23.86
2019,25.40
2019.08333333333,26.62
2019.16666666667,26.61
2019.25,25.83
2019.33333333333,24.61
2019.41666666667,22.78
2019.5,21.27
2019.58333333333,20.24
2019.66666666667,20.01
2019.75,20.27
2019.83333333333,21.55
2019.91666666667,22.77
2020,24.20
2020.08333333333,26.12
2020.16666666667,26.43
2020.25,25.81
2020.33333333333,24.28
2020.41666666667,22.43
2020.5,20.68
2020.58333333333,19.96
2020.66666666667,19.50
2020.75,20.42
2020.83333333333,21.07
2020.91666666667,22.21
2021,23.67
2021.08333333333,25.24
2021.16666666667,25.74
2021.25,24.59
2021.33333333333,23.63
2021.41666666667,22.75
2021.5,21.74
2021.58333333333,20.71
2021.66666666667,20.06
2021.75,20.23
2021.83333333333,
2021.91666666667,
